record_id,event_year,source_publication_year,subject,primary_source,evidence_grade,documented_finding,evidence_limit
B186-01,1897,1899,South Asian Pali editorial and printing labor,https://archive.org/stream/orientalischebibliographie12.1898/Orientalische%20Bibliographie%2012.1898_djvu.txt,A_contemporary_bibliographic_record,"Entry 1495 names Dharmārāma Sthavira and the Pāliyagoda printers D. L. Rūpāsiṃha and M. I. Perera in connection with a Pali commentary installment.",Does not establish that Lovejoy consulted this edition.
B186-02,1898,1898,Lovejoy Buddhist technical-term research,https://www.jstor.org/stable/592475,A_direct_primary_publication,"Lovejoy analyzes upādāna and upādisesa and cites the Milinda Pañha.",Does not identify all contemporary readers.
B186-03,1899,1899,International indexing of Lovejoy Buddhist article,https://archive.org/stream/orientalischebibliographie12.1898/Orientalische%20Bibliographie%2012.1898_djvu.txt,A_direct_contemporary_bibliographic_entry,"Entry 1492 lists Lovejoy's 1898 Journal of the American Oriental Society article under Pali and Prakrit.",Indexing establishes discoverability rather than intellectual uptake by a named scholar.
B186-04,1899,1899,American Oriental Society and Bavarian bibliographic support,https://archive.org/stream/orientalischebibliographie12.1898/Orientalische%20Bibliographie%2012.1898_djvu.txt,A_direct_contemporary_preface,"Scherman reports spring 1899 subsidies from the Royal Bavarian Academy and the American Oriental Society.",Institutional support does not show that the Society selected Lovejoy's entry.
B186-05,1899,1899,Lanman role in transatlantic bibliographic infrastructure,https://archive.org/stream/orientalischebibliographie12.1898/Orientalische%20Bibliographie%2012.1898_djvu.txt,A_direct_contemporary_preface,"Scherman thanks Charles R. Lanman together with E. Kuhn and A. V. W. Jackson for their initiative.",Does not establish that Lanman nominated or arranged Lovejoy's inclusion.
B186-06,1899,1899,Lanman and Lévi in the same contemporary specialist index,https://archive.org/stream/orientalischebibliographie12.1898/Orientalische%20Bibliographie%2012.1898_djvu.txt,A_direct_contemporary_bibliographic_entries,"Entries 1418 and 1419 consecutively identify works by Lanman and Sylvain Lévi.",Shared indexing is not proof of interpersonal contact or transmission.
B186-07,1902,1902,Specht Chinese Milindapañha course,https://www.persee.fr/doc/ephe_0000-0001_1903_num_1_1_2409,A_direct_institutional_report,"Specht teaches the Chinese recension of the Milindapañha in the EPHE Sanskrit-chair environment.",The report does not name Lovejoy as an attendee.
B186-08,1902,1902,La Vallée Poussin as named attendee in Paris Buddhist text instruction,https://www.persee.fr/doc/ephe_0000-0001_1903_num_1_1_2409,A_direct_institutional_attendee_list,"La Vallée Poussin appears by name in Specht's Chinese Milindapañha instruction and Foucher's Sanskrit conference.",Does not document a personal connection to Lovejoy or reception of Lovejoy's article.
B186-09,1904,1904,Pandit Ganapati Śāstrī as Sanskrit author and educational producer,https://www.persee.fr/doc/ephe_0000-0001_1905_num_1_1_2518,A_direct_institutional_report,"The Travancore scholar authors a Sanskrit reader intended for Indian schools and European instruction; printing has begun under Lévi's supervision.",No direct Lovejoy connection has been established.
B186-10,1904,1904,Paramārtha and comparative Sanskrit-Chinese Indian philosophy,https://www.persee.fr/doc/ephe_0000-0001_1905_num_1_1_2518,A_direct_institutional_report,"Lévi compares a Chinese translation attributed to Paramārtha with the Sanskrit Sāṃkhya-kārikā.",Postdates Lovejoy's Paris residence and does not establish his attendance.
B186-11,1904,1904,Documented Pali competence and Kashgar Dhammapada in Paris,https://www.persee.fr/doc/ephe_0000-0001_1905_num_1_1_2518,A_direct_institutional_report,"Cuny is described as having learned Sanskrit and Pali and intending to study the Kashgar Dhammapada.",Does not prove a formally advertised 1898–99 Pali course or Lovejoy participation.
B186-12,1904,1904,Specht Chinese Buddhist doctrinal teaching,https://www.persee.fr/doc/ephe_0000-0001_1905_num_1_1_2518,A_direct_institutional_report,"Specht uses a Chinese Buddhist Amṛtaśāstra and teaches rebirth, action, aggregates, conditioned formations, and causal links.",Shared concepts with Lovejoy establish subject-matter overlap only.
B186-13,1904,1904,Chinese Buddhist canon instruction in Paris,https://www.persee.fr/doc/ephe_0000-0001_1905_num_1_1_2518,A_direct_institutional_report,"Specht's additional conference reads works from the Chinese Buddhist canon.",The institutional report does not document Lovejoy's attendance or use.
B186-14,1898,1898,Exact-year Paris Chinese Buddhist course announcement,https://www.persee.fr/doc/ephe_0000-0001_1899_num_1_1_2222,A_direct_contemporary_course_programme,"The official 1898–99 EPHE programme schedules Specht's Fo-tsou-tong-ki course on the history of Buddhism in China for Mondays at 3:15 p.m.",A scheduled course does not establish Lovejoy's attendance or knowledge of Chinese.
B186-15,1899,1899,Exact-year Paris Chinese Buddhist course actually delivered,https://www.persee.fr/doc/ephe_0000-0001_1900_num_1_1_2251,A_direct_contemporary_retrospective_report,"The Sanskrit-chair report confirms that Specht continued a weekly Sanskrit–Chinese conference and explained Fo-tsou-tong-ki chapters on Buddhist history during 1898–99.",No attendance list connecting Lovejoy to the conference has been recovered.
B186-16,1898,1898,Asaṅga-related Nepal Buddhist manuscript,https://www.persee.fr/doc/crai_0065-0536_1898_num_42_2_71154,A_direct_contemporary_academy_report,"A contemporary Académie notice identifies an Asaṅga-attributed Sūtrālaṃkāra manuscript acquired during Lévi's Nepal research.",This manuscript is not identical to Huber's Aśvaghoṣa-related project.
B186-17,1903,1903,Distinct Aśvaghoṣa-related Buddhist translation project,https://www.persee.fr/doc/ephe_0000-0001_1904_num_1_1_2463,A_direct_contemporary_report_and_dated_letter,"The 1903 EPHE report identifies Huber's completed Sūtrālaṃkāra translation; Lévi's letter of 1 October 1903 independently identifies its author attribution as Aśvaghoṣa.",The similar title must not be conflated with the distinct Asaṅga-related Nepal manuscript.
